Kanji,Hiragana,Romaji,English,Level,PronunciationURL,Topic,Part_of_Speech
,おもしろい,omoshiroi,Interesting,N5,,General,General
泳ぐ,およぐ,oyogu,to swim,N5,,General,General
降りる,おりる,oriru,"to get off, to descend",N5,,General,General
終る,おわる,owaru,to finish,N5,,General,General
音楽,おんがく,ongaku,Music,N5,,General,General
女,おんな,onna,Woman,N5,,General,General
女の子,おんなのこ,onnanoko,Girl,N5,,General,General
外国,がいこく,gaikoku,foreign country,N5,,General,General
外国人,がいこくじん,gaikokujin,Foreigner,N5,,General,General
会社,かいしゃ,kaisha,Company,N5,,General,General
階段,かいだん,kaidan,Stairs,N5,,General,General
買い物,かいもの,kaimono,Shopping,N5,,General,General
買う,かう,kau,to buy,N5,,General,General
返す,かえす,kaesu,to return something,N5,,General,General
帰る,かえる,kaeru,to go back,N5,,General,General
,かかる,kakaru,to take time or money,N5,,General,General
,かぎ,kagi,Key,N5,,General,General
書く,かく,kaku,to write,N5,,General,General
学生,がくせい,gakusei,Student,N5,,General,General
,かける,kakeru,to call by phone,N5,,General,General
傘,かさ,kasa,Umbrella,N5,,General,General
貸す,かす,kasu,to lend,N5,,General,General
風,かぜ,kaze,Wind,N5,,General,General
風邪,かぜ,kaze,a cold,N5,,General,General
家族,かぞく,kazoku,Family,N5,,General,General
方,かた,kata,"person, way of doing",N5,,General,General
学校,がっこう,gakkou,School,N5,,General,General
,カップ,カップ,Cup,N5,,General,General
家庭,かてい,katei,Household,N5,,General,General
角,かど,kado,a corner,N5,,General,General
,かばん,kaban,"bag, basket",N5,,General,General
花瓶,かびん,kabin,a vase,N5,,General,General
紙,かみ,kami,paper,N5,,General,General
,カメラ,カメラ,camera,N5,,General,General
火曜日,かようび,kayoubi,Tuesday,N5,,General,General
辛い,からい,karai,Spicy,N5,,General,General
体,からだ,karada,Body,N5,,General,General
借りる,かりる,kariru,to borrow,N5,,General,General
軽い,かるい,karui,Light,N5,,General,General
,カレー,カレー,Curry,N5,,General,General
,カレンダー,カレンダー,calendar,N5,,General,General
川/河,かわ,kawa,River,N5,,General,General
,かわいい,kawaii,Cute,N5,,General,General
漢字,かんじ,kanji,Chinese character,N5,,General,General
木,き,ki,"tree, wood",N5,,General,General
黄色,きいろ,kiiro,yellow,N5,,General,General
黄色い,きいろい,kiiroi,yellow,N5,,General,General
消える,きえる,kieru,to disappear,N5,,General,General
聞く,きく,kiku,"to hear, to listen to, to ask",N5,,General,General
北,きた,kita,North,N5,,General,General
,ギター,ギター,Guitar,N5,,General,General
汚い,きたない,kitanai,Dirty,N5,,General,General
喫茶店,きっさてん,kissaten,coffee lounge,N5,,General,General
切手,きって,kitte,postage stamp,N5,,General,General
切符,きっぷ,kippu,Ticket,N5,,General,General
昨日,きのう,kinou,Yesterday,N5,,General,General
九,きゅう / く,kyuu/ku,Nine,N5,,General,General
牛肉,ぎゅうにく,gyuuniku,Beef,N5,,General,General
牛乳,ぎゅうにゅう,gyuunyuu,Milk,N5,,General,General
今日,きょう,kyou,Today,N5,,General,General
教室,きょうしつ,kyoushitsu,Classroom,N5,,General,General
兄弟,きょうだい,kyoudai,(humble) siblings,N5,,General,General
去年,きょねん,kyonen,last year,N5,,General,General
嫌い,きらい,kirai,Hate,N5,,General,General
