Kanji,Hiragana,Romaji,English,Level,PronunciationURL,Topic,Part_of_Speech
決定,けってい,kettei,"decision, determination",N3,,General,General
欠点,けってん,ketten,"faults, defect, weakness",N3,,General,General
月曜,げつよう,getsuyou,Monday,N3,,General,General
結論,けつろん,ketsuron,conclusion,N3,,General,General
煙,けむり,kemuri,"smoke, fumes",N3,,General,General
券,けん,ken,"ticket, coupon, bond, certificate",N3,,General,General
県,けん,ken,prefecture,N3,,General,General
軒,けん,ken,eaves,N3,,General,General
喧嘩,けんか,kenka,"quarrel, (drunken) brawl, failure",N3,,General,General
見解,けんかい,kenkai,"opinion, point of view",N3,,General,General
限界,げんかい,genkai,"limit, bound",N3,,General,General
現金,げんきん,genkin,"cash, ready money, mercenary, self-interested",N3,,General,General
言語,げんご,gengo,language,N3,,General,General
健康,けんこう,kenkou,"health, sound, wholesome",N3,,General,General
検査,けんさ,kensa,"inspection (e.g. customs,  factory), examination",N3,,General,General
現在,げんざい,genzai,"present, up to now, nowadays, modern times, current",N3,,General,General
現実,げんじつ,genjitsu,reality,N3,,General,General
現象,げんしょう,genshou,phenomenon,N3,,General,General
現状,げんじょう,genjou,"present condition, existing state, status quo",N3,,General,General
建設,けんせつ,kensetsu,"construction, establishment",N3,,General,General
現代,げんだい,gendai,"nowadays, modern times, present-day",N3,,General,General
建築,けんちく,kenchiku,"construction, architecture",N3,,General,General
見当,けんとう,kentou,"be found, aim, estimate, guess, approx",N3,,General,General
検討,けんとう,kentou,"consideration, examination, investigation, study, scrutiny",N3,,General,General
現場,げんば,genba,"actual spot, scene, scene of the crime",N3,,General,General
憲法,けんぽう,kenpou,constitution,N3,,General,General
権利,けんり,kenri,"right, privilege",N3,,General,General
後,ご,go,"afterwards, since then, in the future",N3,,General,General
語,ご,go,"language, word",N3,,General,General
恋,こい,koi,"love, tender passion",N3,,General,General
濃い,こい,koi,"thick (as of color,  liquid), dense, strong",N3,,General,General
恋人,こいびと,koibito,"lover, sweetheart",N3,,General,General
幸運,こううん,kouun,"good luck, fortune",N3,,General,General
講演,こうえん,kouen,"lecture, address",N3,,General,General
効果,こうか,kouka,"effect, effectiveness, efficacy, result",N3,,General,General
硬貨,こうか,kouka,coin,N3,,General,General
高価,こうか,kouka,high price,N3,,General,General
豪華,ごうか,gouka,"wonderful, gorgeous, splendor, pomp, extravagance",N3,,General,General
合格,ごうかく,goukaku,"success, passing (e.g. exam), eligibility",N3,,General,General
交換,こうかん,koukan,"exchange, interchange, reciprocity",N3,,General,General
航空,こうくう,koukuu,"aviation, flying",N3,,General,General
光景,こうけい,koukei,"scene, spectacle",N3,,General,General
合計,ごうけい,goukei,"sum total, total amount",N3,,General,General
攻撃,こうげき,kougeki,"attack, strike, offensive, criticism, censure",N3,,General,General
貢献,こうけん,kouken,"contribution, services",N3,,General,General
広告,こうこく,koukoku,advertisement,N3,,General,General
交際,こうさい,kousai,"company, friendship, association, society, acquaintance",N3,,General,General
後者,こうしゃ,kousha,the latter,N3,,General,General
工場,こうば,kouba,"factory, plant, mill, workshop",N3,,General,General
構成,こうせい,kousei,"organization, composition",N3,,General,General
高速,こうそく,kousoku,"high speed, high gear",N3,,General,General
行動,こうどう,koudou,"action, conduct, behaviour, mobilization",N3,,General,General
強盗,ごうとう,goutou,"robbery, burglary",N3,,General,General
幸福,こうふく,koufuku,"happiness, blessedness",N3,,General,General
公平,こうへい,kouhei,"fairness, impartial, justice",N3,,General,General
候補,こうほ,kouho,candidacy,N3,,General,General
考慮,こうりょ,kouryo,"consideration, taking into account",N3,,General,General
越える,こえる,koeru,"to exceed, to cross over, to cross",N3,,General,General
,コーチ,コーチ,coach,N3,,General,General
,コード,コード,"code, cord, chord",N3,,General,General
氷,こおり,koori,"ice, hail",N3,,General,General
凍る,こおる,kooru,"to freeze, to be frozen over, to congeal",N3,,General,General
,ゴール,ゴール,goal,N3,,General,General
誤解,ごかい,gokai,misunderstanding,N3,,General,General
語学,ごがく,gogaku,language study,N3,,General,General
呼吸,こきゅう,kokyuu,"breath, respiration",N3,,General,General
故郷,こきょう,kokyou,"home town, birthplace, old village, historic village",N3,,General,General
極,ごく,goku,"quite, very",N3,,General,General
国語,こくご,kokugo,national language,N3,,General,General
黒板,こくばん,kokuban,blackboard,N3,,General,General
克服,こくふく,kokufuku,"subjugation, conquest",N3,,General,General
国民,こくみん,kokumin,"national, people, citizen",N3,,General,General
穀物,こくもつ,kokumotsu,"grain, cereal, corn",N3,,General,General
,ここ,koko,here,N3,,General,General
腰,こし,koshi,hip,N3,,General,General
故障,こしょう,koshou,"break-down, failure, accident, out of order",N3,,General,General
個人,こじん,kojin,"individual, private person, personal, private",N3,,General,General
越す,こす,kosu,to go over (e.g. with audience),N3,,General,General
国家,こっか,kokka,"state, country, nation",N3,,General,General
国会,こっかい,kokkai,"National Diet, parliament, congress",N3,,General,General
国境,こっきょう,kokkyou,national or state border,N3,,General,General
骨折,こっせつ,kossetsu,bone fracture,N3,,General,General
小包,こづつみ,kozutsumi,"parcel, package",N3,,General,General
事,こと,koto,"thing, matter, fact, circumstances",N3,,General,General
異なる,ことなる,kotonaru,"to differ, to vary, to disagree",N3,,General,General
諺,ことわざ,kotowaza,"proverb, maxim",N3,,General,General
断る,ことわる,kotowaru,"to refuse, to decline, to dismiss",N3,,General,General
粉,こな,kona,"flour, meal, powder",N3,,General,General
,この,kono,this,N3,,General,General
好み,このみ,konomi,"liking, taste, choice",N3,,General,General
好む,このむ,konomu,"to like, to prefer",N3,,General,General
,コピー,コピー,"(1) a (photo)copy, (2) blurb on a book jacket",N3,,General,General
塵,ごみ,gomi,"dust, dirt",N3,,General,General
小麦,こむぎ,komugi,wheat,N3,,General,General
,ごめんなさい,gomennasai,"I beg your pardon, excuse me",N3,,General,General
小屋,こや,koya,"hut, cabin, shed, (animal) pen",N3,,General,General
,これら,korera,these,N3,,General,General
頃,ころ,koro,"time, about, toward, approximately (time)",N3,,General,General
殺す,ころす,korosu,to kill,N3,,General,General
転ぶ,ころぶ,korobu,"to fall down, to fall over",N3,,General,General
今回,こんかい,konkai,"now, this time, lately",N3,,General,General
今後,こんご,kongo,"from now on, hereafter",N3,,General,General
混雑,こんざつ,konzatsu,"confusion, congestion",N3,,General,General
,こんなに,konnani,"so, like this, in this way",N3,,General,General
困難,こんなん,konnan,"difficulty, distress",N3,,General,General
今日,こんにち,konnichi,"today, this day",N3,,General,General
,こんにちは,konnichiha,"hello, good day (daytime greeting,  id)",N3,,General,General
,コンピューター,コンピューター,computer,N3,,General,General
婚約,こんやく,konyaku,"engagement, betrothal",N3,,General,General
混乱,こんらん,konran,"disorder, chaos, confusion, mayhem",N3,,General,General
差,さ,sa,"difference, variation",N3,,General,General
,サービス,サービス,"(1) service, support system, (2) goods or services without charge",N3,,General,General
際,さい,sai,"on the occasion of, circumstances",N3,,General,General
最高,さいこう,saikou,"highest, supreme, the most",N3,,General,General
財産,ざいさん,zaisan,"property, fortune, assets",N3,,General,General
最終,さいしゅう,saishuu,"last, final, closing",N3,,General,General
最中,さいちゅう,saichuu,in the middle of,N3,,General,General
最低,さいてい,saitei,"least, lowest, worst",N3,,General,General
才能,さいのう,sainou,"talent, ability",N3,,General,General
裁判,さいばん,saiban,"trial, judgement",N3,,General,General
材料,ざいりょう,zairyou,"ingredients, material",N3,,General,General
幸い,さいわい,saiwai,"happiness, blessedness",N3,,General,General
,サイン,サイン,"(1) autograph, (2) sign, (3) sine",N3,,General,General
境,さかい,sakai,"border, boundary, mental state",N3,,General,General
逆らう,さからう,sakarau,"to go against, to oppose, to disobey, to defy",N3,,General,General
盛り,さかり,sakari,"helping, serving",N3,,General,General
作業,さぎょう,sagyou,"work, operation, manufacturing, fatigue duty",N3,,General,General
昨,さく,saku,"last (year), yesterday",N3,,General,General
作品,さくひん,sakuhin,"work, opus, performance, production",N3,,General,General
作物,さくもつ,sakumotsu,"produce (e.g. agricultural), crops",N3,,General,General
桜,さくら,sakura,"cherry blossom, cherry tree",N3,,General,General
酒,さけ,sake,"alcohol, sake",N3,,General,General
叫ぶ,さけぶ,sakebu,"to shout, to cry",N3,,General,General
避ける,さける,sakeru,"(1) to avoid (physical contact ), (2) to ward off, to avert",N3,,General,General
支える,ささえる,sasaeru,"to be blocked, to choke, to be obstructed",N3,,General,General
指す,さす,sasu,"to point, to put up umbrella, to play",N3,,General,General
座席,ざせき,zaseki,seat,N3,,General,General
誘う,さそう,sasou,"(1) to invite, to ask, (2) to tempt, to lure, to induce",N3,,General,General
札,さつ,satsu,"(1) token, label, (2) ticket, (3) charm",N3,,General,General
作家,さっか,sakka,"author, writer, novelist, artist",N3,,General,General
作曲,さっきょく,sakkyoku,"composition, setting (of music)",N3,,General,General
,ざっと,zatto,"roughly, in round numbers",N3,,General,General
,さっぱり,sappari,"feeling refreshed, feeling relieved, neat, trimmed",N3,,General,General
,さて,sate,"well, now, then",N3,,General,General
砂漠,さばく,sabaku,desert,N3,,General,General
差別,さべつ,sabetsu,"discrimination, distinction, differentiation",N3,,General,General
作法,さほう,sahou,"manners, etiquette, propriety",N3,,General,General
様々,さまざま,samazama,"varied, various",N3,,General,General
覚ます,さます,samasu,to awaken,N3,,General,General
覚める,さめる,sameru,"to wake, to wake up",N3,,General,General
左右,さゆう,sayuu,"(1) left and right, (2) influence, control, domination",N3,,General,General
皿,さら,sara,"plate, dish",N3,,General,General
更に,さらに,sarani,"furthermore, again, after all, more and more, moreover",N3,,General,General
去る,さる,saru,"to leave, to go away",N3,,General,General
猿,さる,saru,monkey,N3,,General,General
騒ぎ,さわぎ,sawagi,"uproar, disturbance",N3,,General,General
参加,さんか,sanka,participation,N3,,General,General
参考,さんこう,sankou,"reference, consultation",N3,,General,General
賛成,Uӣい,Uӣi,"approval, agreement, support, favour",N3,,General,General
酸素,さんそ,sanso,oxygen,N3,,General,General
散歩,さんぽ,sanpo,"walk, stroll",N3,,General,General
四,し,shi,four,N3,,General,General
氏,し,shi,"family name, lineage, birth",N3,,General,General
詩,し,shi,"poem, verse of poetry",N3,,General,General
幸せ,しあわせ,shiawase,"happiness, good fortune, luck, blessing",N3,,General,General
,ジーンズ,ジーンズ,jeans,N3,,General,General
ジェット機,ジェットき,ジェットki,jet aeroplane,N3,,General,General
直に,じかに,jikani,"immediately, readily, directly",N3,,General,General
,しかも,shikamo,"moreover, furthermore, nevertheless, and yet",N3,,General,General
叱る,しかる,shikaru,to scold,N3,,General,General
式,しき,shiki,"equation, formula, ceremony",N3,,General,General
直,じき,jiki,"earnestly, immediately, exactly",N3,,General,General
時期,じき,jiki,"time, season, period",N3,,General,General
支給,しきゅう,shikyuu,"payment, allowance",N3,,General,General
,しきりに,shikirini,"frequently, repeatedly, incessantly, eagerly",N3,,General,General
刺激,しげき,shigeki,"stimulus, impetus, incentive",N3,,General,General
資源,しげん,shigen,resources,N3,,General,General
事件,じけん,jiken,"event, affair, incident",N3,,General,General
時刻,じこく,jikoku,"instant, time, moment",N3,,General,General
自殺,じさつ,jisatsu,suicide,N3,,General,General
事実,じじつ,jijitsu,"fact, truth, reality",N3,,General,General
支出,ししゅつ,shishutsu,"expenditure, expenses",N3,,General,General
事情,じじょう,jijou,"circumstances, consideration, conditions, situation, reasons",N3,,General,General
詩人,しじん,shijin,poet,N3,,General,General
自身,じしん,jishin,"by oneself, personally",N3,,General,General
沈む,しずむ,shizumu,"to sink, to feel depressed",N3,,General,General
自然,しぜん,shizen,"nature, spontaneous",N3,,General,General
思想,しそう,shisou,"thought, idea",N3,,General,General
舌,した,shita,tongue,N3,,General,General
次第,しだい,shidai,"(1) order, precedence, (2) circumstances, (3) immediate(ly)",N3,,General,General
事態,じたい,jitai,"situation, present state of affairs",N3,,General,General
従う,したがう,shitagau,"to abide (by the rules), to obey, to follow, to accompany",N3,,General,General
,したがって,shitagatte,"therefore, consequently, in accordance with",N3,,General,General
支度,したく,shitaku,preparation,N3,,General,General
親しい,したしい,shitashii,"intimate, close (e.g. friend)",N3,,General,General
七,しち,shichi,seven,N3,,General,General
質,しつ,shitsu,"quality, nature (of person)",N3,,General,General
失業,しつぎょう,shitsugyou,unemployment,N3,,General,General
実験,じっけん,jikken,experiment,N3,,General,General
実現,じつげん,jitsugen,"implementation, materialization, realization",N3,,General,General
実行,じっこう,jikkou,"practice, performance, execution (e.g. program), realization",N3,,General,General
実際,じっさい,jissai,"practical, actual condition, status quo",N3,,General,General
実施,じっし,jisshi,"enforcement, enact, put into practice, carry out, operation",N3,,General,General
,じっと,jitto,"fixedly, firmly, patiently, quietly",N3,,General,General
実に,じつに,jitsuni,"indeed, truly, surely",N3,,General,General
実は,じつは,jitsuha,"as a matter of fact, by the way",N3,,General,General
失望,しつぼう,shitsubou,"disappointment, despair",N3,,General,General
支店,してん,shiten,branch store (office),N3,,General,General
指導,しどう,shidou,"leadership, guidance, coaching",N3,,General,General
自動,じどう,jidou,"automatic, self-motion",N3,,General,General
品,しな,shina,"thing, article, goods, dignity, article (goods), counter for meal courses",N3,,General,General
支配,しはい,shihai,"rule, control, direction",N3,,General,General
芝居,しばい,shibai,"play, drama",N3,,General,General
,しばしば,shibashiba,"often, again and again, frequently",N3,,General,General
芝生,しばふ,shibafu,lawn,N3,,General,General
支払,しはらい,shiharai,payment,N3,,General,General
支払う,しはらう,shiharau,to pay,N3,,General,General
死亡,しぼう,shibou,"death, mortality",N3,,General,General
資本,しほん,shihon,"funds, capital",N3,,General,General
しまい,（終わり）,（終wari）,sisters,N3,,General,General
姉妹,しまい,shimai,sisters,N3,,General,General
しまう,（終わる）,（終waru）,"to finish, to close, to do something completely",N3,,General,General
しまった,（感）,（感）,Damn it!,N3,,General,General
自慢,じまん,jiman,"pride, boast",N3,,General,General
事務,じむ,jimu,"business, office work",N3,,General,General
示す,しめす,shimesu,"to denote, to show, to point out, to indicate",N3,,General,General
占める,しめる,shimeru,"(1) to comprise, to account for, to make up (of), (2) to hold, to occupy",N3,,General,General
下,しも,shimo,"under, below, beneath",N3,,General,General
霜,しも,shimo,frost,N3,,General,General
,じゃあ,jaa,"well, well then",N3,,General,General
借金,しゃっきん,shakkin,"debt, loan, liabilities",N3,,General,General
,しゃべる,shaberu,"to talk, to chat, to chatter",N3,,General,General
邪魔,じゃま,jama,"hindrance, intrusion",N3,,General,General
週,しゅう,shuu,week,N3,,General,General
州,しゅう,shuu,sandbank,N3,,General,General
十,じゅう,juu,"10, ten",N3,,General,General
銃,じゅう,juu,gun,N3,,General,General
周囲,しゅうい,shuui,"surroundings, circumference, environs",N3,,General,General
収穫,しゅうかく,shuukaku,"harvest, crop, ingathering",N3,,General,General
週間,しゅうかん,shuukan,"week, weekly",N3,,General,General
宗教,しゅうきょう,shuukyou,religion,N3,,General,General
重視,じゅうし,juushi,"importance, stress, serious consideration",N3,,General,General
就職,しゅうしょく,shuushoku,"finding employment, inauguration",N3,,General,General
,ジュース,ジュース,"juice, soft drink, deuce",N3,,General,General
修正,しゅうせい,shuusei,"amendment, correction, revision, modification",N3,,General,General
渋滞,じゅうたい,juutai,"congestion (e.g. traffic), delay, stagnation",N3,,General,General
重大,じゅうだい,juudai,"serious, important, grave, weighty",N3,,General,General
住宅,じゅうたく,juutaku,"resident, housing",N3,,General,General
集団,しゅうだん,shuudan,"group, mass",N3,,General,General
集中,しゅうちゅう,shuuchuu,"concentration, focusing the mind",N3,,General,General
収入,しゅうにゅう,shuunyuu,"income, receipts, revenue",N3,,General,General
住民,じゅうみん,juumin,"citizens, inhabitants, residents, population",N3,,General,General
重要,じゅうよう,juuyou,"important, momentous, essential, principal, major",N3,,General,General
修理,しゅうり,shuuri,"repairing, mending",N3,,General,General
主義,しゅぎ,shugi,"doctrine, rule, principle",N3,,General,General
宿泊,しゅくはく,shukuhaku,lodging,N3,,General,General
手術,しゅじゅつ,shujutsu,surgical operation,N3,,General,General
首相,しゅしょう,shushou,Prime Minister,N3,,General,General
手段,しゅだん,shudan,"means, way, measure",N3,,General,General
主張,しゅちょう,shuchou,"claim, request, insistence, assertion",N3,,General,General
出身,しゅっしん,shusshin,"graduate from, come from",N3,,General,General
出席,しゅっせき,shusseki,"attendance, presence",N3,,General,General
出発,しゅっぱつ,shuppatsu,departure,N3,,General,General
出版,しゅっぱん,shuppan,publication,N3,,General,General
首都,しゅと,shuto,capital city,N3,,General,General
主婦,しゅふ,shufu,"housewife, mistress",N3,,General,General
主要,しゅよう,shuyou,"chief, main, principal, major",N3,,General,General
需要,じゅよう,juyou,"demand, request",N3,,General,General
種類,しゅるい,shurui,"variety, kind, type",N3,,General,General
順,じゅん,jun,"order, turn",N3,,General,General
瞬間,しゅんかん,shunkan,"moment, second, instant",N3,,General,General
順調,じゅんちょう,junchou,"favourable, doing well, O.K., all right",N3,,General,General
順番,じゅんばん,junban,"turn (in line), order of things",N3,,General,General
準備,じゅんび,junbi,"preparation, arrangements, provision, reserve",N3,,General,General
使用,しよう,shiyou,"use, application, employment, utilization",N3,,General,General
小,しょう,shou,,N3,,General,General
章,しょう,shou,"(1) chapter, section, (2) medal",N3,,General,General
賞,しょう,shou,"prize, award",N3,,General,General
上,じょう,jou,"(1) first volume, (2) superior quality, (3) governmental",N3,,General,General
障害,しょうがい,shougai,"obstacle, impediment (fault), damage",N3,,General,General
奨学金,しょうがくきん,shougakukin,scholarship,N3,,General,General
乗客,じょうきゃく,joukyaku,passenger,N3,,General,General
上京,じょうきょう,joukyou,proceeding to the capital (Tokyo),N3,,General,General
状況,じょうきょう,joukyou,"state of affairs, situation, circumstances",N3,,General,General
条件,じょうけん,jouken,"conditions, terms",N3,,General,General
正午,しょうご,shougo,"noon, mid-day",N3,,General,General
正直,しょうじき,shoujiki,"honesty, integrity, frankness",N3,,General,General
常識,じょうしき,joushiki,common sense,N3,,General,General
少女,しょうじょ,shoujo,"daughter, young lady, virgin, maiden, little girl",N3,,General,General
少々,しょうしょう,shoushou,"just a minute, small quantity",N3,,General,General
症状,しょうじょう,shoujou,"symptoms, condition",N3,,General,General
生じる,しょうじる,shoujiru,"to produce, to yield, to result from, to arise, to be generated",N3,,General,General
招待,しょうたい,shoutai,invitation,N3,,General,General
状態,じょうたい,joutai,"condition, situation, circumstances, state",N3,,General,General
上達,じょうたつ,joutatsu,"improvement, advance, progress",N3,,General,General
冗談,じょうだん,joudan,"jest, joke",N3,,General,General
承知,しょうち,shouchi,"consent, acceptance, assent, admitting",N3,,General,General
上等,じょうとう,joutou,"superiority, first class, very good",N3,,General,General
衝突,しょうとつ,shoutotsu,"collision, conflict",N3,,General,General
商人,しょうにん,shounin,"trader, shopkeeper, merchant",N3,,General,General
承認,しょうにん,shounin,"recognition, acknowledgement, approval, consent, agreement",N3,,General,General
少年,しょうねん,shounen,"boys, juveniles",N3,,General,General
商売,しょうばい,shoubai,"trade, business, commerce, transaction, occupation",N3,,General,General
消費,しょうひ,shouhi,"consumption, expenditure",N3,,General,General
商品,しょうひん,shouhin,"commodity, article of commerce, goods, stock, merchandise",N3,,General,General
消防,しょうぼう,shoubou,"fire fighting, fire department",N3,,General,General
情報,じょうほう,jouhou,"information, (military) intelligence",N3,,General,General
証明,しょうめい,shoumei,"proof, verification",N3,,General,General
女王,じょおう,joou,queen,N3,,General,General
職,しょく,shoku,employment,N3,,General,General
職業,しょくぎょう,shokugyou,"occupation, business",N3,,General,General
食事,しょくじ,shokuji,meal,N3,,General,General
食卓,しょくたく,shokutaku,dining table,N3,,General,General
食品,しょくひん,shokuhin,"commodity, foodstuff",N3,,General,General
植物,しょくぶつ,shokubutsu,"plant, vegetation",N3,,General,General
食物,しょくもつ,shokumotsu,"food, foodstuff",N3,,General,General
食欲,しょくよく,shokuyoku,appetite (for food),N3,,General,General
食料,しょくりょう,shokuryou,food,N3,,General,General
食糧,しょくりょう,shokuryou,"provisions, rations",N3,,General,General
書斎,しょさい,shosai,study,N3,,General,General
女子,じょし,joshi,"woman, girl",N3,,General,General
助手,じょしゅ,joshu,"helper, helpmeet, assistant, tutor",N3,,General,General
徐々に,じょじょに,jojoni,"slowly, little by little, gradually, steadily, quietly",N3,,General,General
署名,しょめい,shomei,signature,N3,,General,General
書物,しょもつ,shomotsu,books,N3,,General,General
女優,じょゆう,joyuu,actress,N3,,General,General
処理,しょり,shori,"processing, dealing with, treatment, disposition, disposal",N3,,General,General
書類,しょるい,shorui,"documents, official papers",N3,,General,General
知らせ,しらせ,shirase,notice,N3,,General,General
尻,しり,shiri,"buttocks, bottom",N3,,General,General
印,しるし,shirushi,"(1) mark, (2) symbol, (3) evidence",N3,,General,General
城,しろ,shiro,castle,N3,,General,General
進学,しんがく,shingaku,going on to university,N3,,General,General
神経,しんけい,shinkei,"nerve, sensitivity",N3,,General,General
真剣,しんけん,shinken,"seriousness, earnestness",N3,,General,General
信仰,しんこう,shinkou,"(religious) faith, belief, creed",N3,,General,General
信号,しんごう,shingou,"traffic lights, signal, semaphore",N3,,General,General
人工,じんこう,jinkou,"artificial, manmade, human work, human skill, artificiality",N3,,General,General
深刻,しんこく,shinkoku,serious,N3,,General,General
診察,しんさつ,shinsatsu,medical examination,N3,,General,General
人種,じんしゅ,jinshu,race (of people),N3,,General,General
信じる,しんじる,shinjiru,"to believe, to place trust in",N3,,General,General
人生,じんせい,jinsei,(human) life (i.e. conception to death),N3,,General,General
親戚,しんせき,shinseki,relative,N3,,General,General
新鮮,しんせん,shinsen,fresh,N3,,General,General
心臓,しんぞう,shinzou,heart,N3,,General,General
身体,しんたい,shintai,the body,N3,,General,General
身長,しんちょう,shinchou,"height (of body), stature",N3,,General,General
慎重,しんちょう,shinchou,"discretion, prudence",N3,,General,General
心配,しんぱい,shinpai,"worry, concern, anxiety, care",N3,,General,General
審判,しんぱん,shinpan,"refereeing, trial, judgement, umpire, referee",N3,,General,General
人物,じんぶつ,jinbutsu,"character, personality, person, man, personage, talented man",N3,,General,General
進歩,しんぽ,shinpo,"progress, development",N3,,General,General
親友,しんゆう,shinyuu,"close friend, buddy",N3,,General,General
信用,しんよう,shinyou,"confidence, dependence, credit, faith",N3,,General,General
信頼,しんらい,shinrai,"reliance, trust, confidence",N3,,General,General
心理,しんり,shinri,mentality,N3,,General,General
人類,じんるい,jinrui,"mankind, humanity",N3,,General,General
巣,す,su,"nest, rookery, breeding place, beehive, cobweb",N3,,General,General
図,ず,zu,"figure (e.g. Fig 1), drawing, picture, illustration",N3,,General,General
水準,すいじゅん,suijun,"(1) water level, (2) level, standard",N3,,General,General
推薦,すいせん,suisen,recommendation,N3,,General,General
,スイッチ,スイッチ,switch,N3,,General,General
随分,ずいぶん,zuibun,extremely,N3,,General,General
睡眠,すいみん,suimin,sleep,N3,,General,General
数,すう,suu,"number, figure",N3,,General,General
数字,すうじ,suuji,"numeral, figure",N3,,General,General
,スープ,スープ,(Western) soup,N3,,General,General
末,すえ,sue,"the end of, powder",N3,,General,General
姿,すがた,sugata,"figure, shape, appearance",N3,,General,General
,スキー,スキー,skiing,N3,,General,General
空く,すく,suku,"(1) to open, to become empty, (2) to be less crowded",N3,,General,General
救う,すくう,sukuu,"to rescue from, to help out of",N3,,General,General
優れる,すぐれる,sugureru,"to surpass, to outstrip, to excel",N3,,General,General
,スケート,スケート,"skate(s), skating",N3,,General,General
,すごい,sugoi,"terrible, dreadful, terrific, amazing, great",N3,,General,General
少しも,すこしも,sukoshimo,"anything of, not one bit",N3,,General,General
過ごす,すごす,sugosu,"to pass, to spend, to go through, to tide over",N3,,General,General
筋,すじ,suji,"muscle, string, line",N3,,General,General
進める,すすめる,susumeru,"to advance, to promote, to hasten",N3,,General,General
勧める,すすめる,susumeru,"to recommend, to advise, to encourage, to offer (wine)",N3,,General,General
,スター,スター,star,N3,,General,General
,スタイル,スタイル,style,N3,,General,General
,スタンド,スタンド,stand,N3,,General,General
頭痛,ずつう,zutsuu,headache,N3,,General,General
,ずっと,zutto,"consecutively, throughout, a lot",N3,,General,General
,すてき,suteki,"lovely, dreamy, beautiful, great",N3,,General,General
既に,すでに,sudeni,"already, too late",N3,,General,General
,すなわち,sunawachi,"that is, namely, i.e.",N3,,General,General
素晴らしい,すばらしい,subarashii,"wonderful, splendid, magnificent",N3,,General,General
,スピーチ,スピーチ,speech,N3,,General,General
全て,すべて,subete,"all, the whole, entirely, in general, wholly",N3,,General,General
済ませる,すませる,sumaseru,to be finished,N3,,General,General
角,すみ,sumi,horn,N3,,General,General
すみません,（感）,（感）,"sorry, excuse me",N3,,General,General
為る,する,suru,"to change, to be of use, to reach to",N3,,General,General
,すると,suruto,"thereupon, hereupon",N3,,General,General
鋭い,するどい,surudoi,"pointed, sharp",N3,,General,General
背,せい,sei,"height, stature",N3,,General,General
正,せい,sei,"(logical) true, regular",N3,,General,General
生,せい,sei,"(1) draft (beer), (2) raw, unprocessed",N3,,General,General
性,せい,sei,"sex, gender",N3,,General,General
所為,せい,sei,"cause, reason, fault",N3,,General,General
税,ぜい,zei,,N3,,General,General
性格,せいかく,seikaku,"character, personality",N3,,General,General
正確,せいかく,seikaku,"accurate, punctuality, exactness, authenticity, veracity",N3,,General,General
世紀,せいき,seiki,"century, era",N3,,General,General
請求,せいきゅう,seikyuu,"claim, demand, application, request",N3,,General,General
税金,ぜいきん,zeikin,"tax, duty",N3,,General,General
清潔,せいけつ,seiketsu,clean,N3,,General,General
制限,せいげん,seigen,"restriction, restraint, limitation",N3,,General,General
成功,せいこう,seikou,"success, hit",N3,,General,General
生産,せいさん,seisan,"production, manufacture",N3,,General,General
正式,せいしき,seishiki,"due form, official, formality",N3,,General,General
精神,せいしん,seishin,"mind, soul, heart, spirit, intention",N3,,General,General
成人,せいじん,seijin,adult,N3,,General,General
精々,せいぜい,seizei,"at the most, at best, to the utmost, as much (far) as possible",N3,,General,General
成績,せいせき,seiseki,"results, record",N3,,General,General
製造,せいぞう,seizou,"manufacture, production",N3,,General,General
贅沢,ぜいたく,zeitaku,"luxury, extravagance",N3,,General,General
成長,せいちょう,seichou,"growth, grow to adulthood",N3,,General,General
制度,せいど,seido,"system, institution, organization",N3,,General,General
青年,せいねん,seinen,"youth, young man",N3,,General,General
製品,せいひん,seihin,"manufactured goods, finished goods",N3,,General,General
政府,せいふ,seifu,"government, administration",N3,,General,General
生物,せいぶつ,seibutsu,raw food,N3,,General,General
生命,せいめい,seimei,"life, existence",N3,,General,General
整理,せいり,seiri,"sorting, arrangement, adjustment, regulation",N3,,General,General
咳,せき,seki,cough,N3,,General,General
石炭,せきたん,sekitan,coal,N3,,General,General
責任,せきにん,sekinin,"duty, responsibility",N3,,General,General
石油,せきゆ,sekiyu,"oil, petroleum, kerosene",N3,,General,General
世間,せけん,seken,"world, society",N3,,General,General
説,せつ,setsu,theory,N3,,General,General
積極的,せっきょくてき,sekkyokuteki,"positive, active, proactive",N3,,General,General
設計,せっけい,sekkei,"plan, design",N3,,General,General
絶対,ぜったい,zettai,"absolute, unconditional, absoluteness",N3,,General,General
,セット,セット,set,N3,,General,General
設備,せつび,setsubi,"equipment, device, facilities, installation",N3,,General,General
絶滅,ぜつめつ,zetsumetsu,"destruction, extinction",N3,,General,General
節約,せつやく,setsuyaku,"economising, saving",N3,,General,General
是非,ぜひ,zehi,"certainly, without fail",N3,,General,General
責める,せめる,semeru,"to condemn, to blame, to criticize",N3,,General,General
世話,せわ,sewa,"looking after, help, aid, assistance",N3,,General,General
善,ぜん,zen,"good, goodness, right, virtue",N3,,General,General
全,ぜん,zen,"all, whole, entire, complete, overall, pan",N3,,General,General
全員,ぜんいん,zenin,"all members (unanimity), all hands, the whole crew",N3,,General,General
専攻,せんこう,senkou,"major subject, special study",N3,,General,General
全国,ぜんこく,zenkoku,"country-wide, nation-wide, whole country, national",N3,,General,General
先日,せんじつ,senjitsu,"the other day, a few days ago",N3,,General,General
前者,ぜんしゃ,zensha,the former,N3,,General,General
